label	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	feature49	feature50	feature51	feature52	feature53	feature54	feature55	feature56	feature57	feature58	feature59	feature60	feature61	feature62	feature63	feature64	feature65	feature66	feature67	feature68	feature69	feature70	feature71	feature72	feature73	feature74	feature75	feature76	feature77	feature78	feature79	feature80	feature81	feature82	feature83	feature84	feature85	feature86	feature87	feature88	feature89	feature90	feature91	feature92	feature93	feature94	feature95	feature96	feature97	feature98	feature99	feature100
0	0	0	0	0	0	1.3787829	0	2.122336	4.0429654	3.7476418	0	0	0.43287367	0	0	0	3.7116733	0	0	0	0	3.68022	3.647701	5.4121737	0	0	3.4253786	0	0	0	0	2.8889933	0	0.016137987	0	0	0	0	0	0	6.881531	4.7088814	0	0	0	0	0	1.6827761	0	0	8.784235	8.312043	0	0	0	0	0	0	0	0	0	0	0	4.465163	0.15201275	0	0	0	0	0	0	0	0.4414281	0	6.183101	0	5.253356	0	1.6663163	0	0	0	2.5773642	0	0	5.489589	0	6.1780014	0	3.582942	0	0.6095535	2.465311	0	3.749395	0	0	4.693432	0	6.1270823
0	0	0.6231903	0	0	0	3.277154	0	4.153557	3.6949413	2.9937704	0	0	1.9748371	0	0	0	4.852171	0	0	0	0	6.099855	5.4567385	8.963581	1.7533967	0	5.4626765	0	0	0	0	5.0316586	0	0	0	0	0	0	0	0	9.53142	8.33956	0	0.56322163	0	0	0	3.0617836	0	0	10.8477545	8.602269	0	0	0	0	0	0	0	0	0	0	0	7.227751	1.5796174	0	0	0.8785703	0	0	0	0	0.629673	0	9.538237	0	6.294821	0	0.48601615	0	0	0	3.8847628	0	0	8.7190485	0	8.814265	0	7.260637	0	0.30002397	2.6241105	0	3.110289	0	0	7.1692357	0	9.718852
0	0	1.2770107	0	0	0	5.2682652	0	4.2275186	1.3622854	0.7127798	0	0	2.2753434	0	0	0	2.8789759	0	0	0	0.31687576	4.921547	5.0430675	7.270231	3.901228	0	5.7985625	0	0.5518032	0	0	4.1692376	0	0	0	0.4232268	0	1.1595109	0	2.171274	8.619697	6.951799	0	2.8155806	0	0	0	2.2892118	0	0	7.12493	4.4878454	0	0	0	0	0	0	0	0	0	0	0	6.1982627	3.4144974	2.4726224	0	2.2755594	0	0	0	0	0.46791443	1.1139853	6.9038076	0	4.1030345	0	0	0	0	0	3.9785843	0	0	7.6544743	0	5.2393165	0	7.3990307	0	0	0	0	0	0	0	5.9568543	0	7.4005556
0	0	0.822417	0	0	0	2.0238442	0	1.8407472	3.104497	3.0862975	0	0	1.8678703	0	0	0	3.6891813	0	0	0	0	4.5254655	3.3997307	6.925801	0.10728975	0	3.422522	0	0	0	0	3.2238512	0	0	0	0	0	0	0	0	7.194124	6.0852513	0	0.21357703	0	0	0	2.7075582	0	0	8.059097	6.811459	0	0	0	0	0	0	0	0	0	0	0	5.152982	0.4403659	0	0	0.005843304	0	0.112375945	0	0	0	0	6.465207	0	4.523614	0	0	0	0	0	2.9126132	0	0	5.8516135	0	6.2258344	0	5.389184	0	0	2.8960493	0	2.5131538	0	0	5.4422336	0	7.3711944
0	0	0	0	0	0	2.5313182	0	3.845902	3.779721	3.2586987	0	0	1.7211344	0.67118824	0	0.24871498	5.476334	0	0	0	0	5.863852	6.8788834	8.098078	0.39732862	0	5.734969	0	0	0	0	4.451369	0	0	0	0	0	0	0	0	9.432898	8.455972	0	0	0	0	0	5.014816	0	0	12.263244	10.144676	0	0	0	0	0	0	0	0	0	0	0	8.010582	2.5747151	0	0	0	0	0.812556	0	0	1.5923721	0	11.834973	0	7.2330494	0	3.5711155	0	0	0	4.16964	0	0	10.44164	0	11.499553	0	7.4583306	0	2.4927535	2.5724294	0	3.0182798	0	0	6.9702516	0	10.132526
0	0	0.18796343	0	0	0	3.4903064	0	2.6450982	2.442341	2.6059353	0.07833901	0	0.5145375	0	0	0.20157497	5.0299683	0	0	0	0	6.0972357	5.2562194	6.6457667	0.9728111	0	5.552626	0	0	0	0	3.628234	0	0	0	0	0	0	0	0	9.675592	6.4764338	0	1.1465107	0	0	0	3.2446184	0	0	11.6867285	9.907934	0	0	0	0	0	0	0	0	0	0	0	6.270987	1.3185618	0	0	0.36889338	0	0	0	0	0.41006082	0	9.190407	0	6.497413	0	1.3194892	0	0	0	4.0533934	0	0	8.065244	0	7.5727825	0	7.019523	0	1.7756177	0.6422265	0	1.1313396	0	0	6.255342	0	8.36476
0	0	0	0	0	0	4.957759	0	2.511276	6.170986	5.9348826	0	0	0.8909541	0	0	0	4.016659	0	0	0	0	2.76521	7.727552	5.55285	0	0	6.89754	0	0	0	0	2.0080206	0	0	0	0.6580742	0	0	0	0	11.941123	5.421597	0	1.7258264	0	0	0	4.421457	0	0	12.072749	12.223473	0	0	0	0	0	0	0	0	0	0	0	7.201795	4.601665	2.0480595	0	0	0	0	0	0	1.0675027	0	8.180192	0	7.6346602	0	3.3458042	0	0	0	5.7107325	0	0	10.224806	0	8.539423	0	5.6347523	0	2.1948874	0.15236764	0	0.94242984	0	0	6.146809	0.30317098	7.4015403
0	0	0.48223573	0	0	0	2.776639	0	3.4082613	4.1758943	2.797239	0	0	1.8755696	0	0	0	3.9912624	0	0	0	0	5.2719417	6.160659	6.894649	1.9819897	0	5.348915	0	0	0	0	3.6694922	0	0	0	0	0	0	0	0	10.085681	8.086448	0	0.27425128	0	0	0	2.169522	0	0	12.004938	9.127638	0	0	0	0	0	0	0	0	0	0	0	7.1776137	2.086365	0	0	0.758207	0	0	0	0	1.1715503	0	8.646252	0	7.509785	0	1.6928834	0	0	0	3.4892619	0	0	7.2761674	0	7.1167927	0	7.48624	0	0.9399604	1.4681536	0	3.4535956	0	0	6.213457	0	8.778178
0	0	0	0	0	0	3.2707534	0	4.457565	4.487004	3.773847	0	0	1.5246452	0.7458149	0	0.5102187	5.793685	0	0	0	0	5.8455267	8.125527	8.219677	0.29347992	0	6.7844796	0	0	0	0	4.5937366	0	0	0	0	0	0	0	0	10.7487755	8.777774	0	0.08683108	0	0	0	5.4151173	0	0	13.6158085	11.562215	0	0	0	0	0	0	0	0	0	0	0	8.813624	3.5729737	0	0	0	0	0.5993252	0	0	2.162321	0	12.839224	0	8.204024	0	4.4951267	0	0	0	4.865159	0	0	11.85886	0	12.533328	0	7.842005	0	3.1187096	2.0244982	0	2.9135923	0	0	7.431326	0	10.6090765
0	0	0.03684619	0	0	0	3.081975	0	4.19682	3.9911115	3.3554823	0	0	1.4786676	0	0	0	5.3079367	0	0	0	0	6.2249656	5.9774594	8.653319	1.3297969	0	5.7582664	0	0	0	0	4.9846163	0	0	0	0	0	0	0	0	9.901475	8.2627325	0	0.27063045	0	0	0	3.2748568	0	0	11.99077	9.906546	0	0	0	0	0	0	0	0	0	0	0	7.4133496	1.5846267	0	0	0.5477564	0	0	0	0	0.99568635	0	10.3523855	0	6.999529	0	1.6071409	0	0	0	4.024597	0	0	9.220919	0	9.605016	0	7.143312	0	1.0635895	2.5059412	0	3.4420354	0	0	7.206231	0	9.819297
