id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,509423.5659,495.6,1,13,0.722789281,0.733350239,1.889526933,0.813589227,gaze,,,,509423.565856 509423.574256 509423.582656 509423.591056 509423.599456 509423.607856 509423.616256 509423.641456 509423.649856 509423.658256 509423.666656 509423.675056 509423.683456 509423.691856 509423.700256 509423.708656 509423.717056 509423.725456 509423.733856 509423.742256 509423.750656 509423.759056 509423.775856 509423.784256 509423.792656 509423.801056 509423.809456 509423.817856 509423.826256 509423.834656 509423.843056 509423.851456 509423.859856 509423.868256 509423.876656 509423.885056 509423.893456 509423.901856 509423.910256 509423.918656 509423.927056 509423.935456 509423.943856 509423.952256 509423.960656 509423.969056 509423.977456 509423.985856 509423.994256 509424.002656 509424.011056 509424.019456 509424.027856 509424.036256 509424.044656 509424.053056 509424.061456
1,509425.9347,579.6,59,74,0.70967852,0.653327917,2.638859202,0.835193073,gaze,,,,509425.934656 509425.951456 509425.959856 509425.968256 509425.976656 509425.985056 509425.993456 509426.001856 509426.010256 509426.018656 509426.027056 509426.035456 509426.043856 509426.052256 509426.060656 509426.077456 509426.085856 509426.094256 509426.102656 509426.111056 509426.119456 509426.127856 509426.136256 509426.144656 509426.153056 509426.161456 509426.169856 509426.178256 509426.186656 509426.195056 509426.203456 509426.211856 509426.220256 509426.228656 509426.237056 509426.245456 509426.253856 509426.262256 509426.270656 509426.279056 509426.287456 509426.295856 509426.304256 509426.312656 509426.321056 509426.329456 509426.337856 509426.346256 509426.354656 509426.363056 509426.371456 509426.379856 509426.388256 509426.396656 509426.405056 509426.413456 509426.421856 509426.430256 509426.438656 509426.447056 509426.455456 509426.463856 509426.472256 509426.480656 509426.489056 509426.497456 509426.505856 509426.514256
2,509427.4131,999.6,96,119,0.614683792,0.130359763,2.738078148,0.404498155,gaze,,,,509427.413056 509427.421456 509427.429856 509427.438256 509427.446656 509427.455056 509427.463456 509427.471856 509427.480256 509427.505456 509427.513856 509427.522256 509427.530656 509427.539056 509427.547456 509427.555856 509427.564256 509427.572656 509427.581056 509427.589456 509427.597856 509427.606256 509427.614656 509427.623056 509427.631456 509427.639856 509427.648256 509427.656656 509427.665056 509427.673456 509427.681856 509427.690256 509427.698656 509427.707056 509427.715456 509427.723856 509427.732256 509427.740656 509427.749056 509427.757456 509427.765856 509427.774256 509427.782656 509427.791056 509427.799456 509427.807856 509427.816256 509427.824656 509427.833056 509427.849856 509427.858256 509427.866656 509427.875056 509427.883456 509427.891856 509427.900256 509427.908656 509427.925456 509427.933856 509427.942256 509427.950656 509427.959056 509427.967456 509427.975856 509427.984256 509427.992656 509428.001056 509428.009456 509428.017856 509428.026256 509428.034656 509428.043056 509428.051456 509428.059856 509428.068256 509428.076656 509428.093456 509428.101856 509428.110256 509428.118656 509428.127056 509428.135456 509428.143856 509428.152256 509428.160656 509428.169056 509428.177456 509428.185856 509428.194256 509428.202656 509428.211056 509428.219456 509428.227856 509428.236256 509428.244656 509428.253056 509428.261456 509428.269856 509428.278256 509428.286656 509428.295056 509428.303456 509428.311856 509428.320256 509428.328656 509428.337056 509428.345456 509428.353856 509428.362256 509428.370656 509428.379056 509428.387456 509428.395856 509428.404256 509428.412656
3,509429.1771,327.6,139,147,0.507449224,0.394450604,2.781450317,0.66331094,gaze,,,,509429.177056 509429.185456 509429.193856 509429.202256 509429.210656 509429.219056 509429.227456 509429.235856 509429.244256 509429.252656 509429.261056 509429.269456 509429.277856 509429.286256 509429.294656 509429.303056 509429.311456 509429.319856 509429.328256 509429.336656 509429.345056 509429.353456 509429.361856 509429.370256 509429.378656 509429.387056 509429.395456 509429.403856 509429.412256 509429.420656 509429.429056 509429.437456 509429.445856 509429.462656 509429.471056 509429.479456 509429.487856 509429.496256 509429.504656
4,509430.4287,546,171,183,0.627549427,0.371432016,2.672393308,0.77032082,gaze,,,,509430.428656 509430.437056 509430.445456 509430.453856 509430.462256 509430.470656 509430.479056 509430.487456 509430.495856 509430.504256 509430.512656 509430.521056 509430.529456 509430.537856 509430.546256 509430.554656 509430.563056 509430.571456 509430.579856 509430.588256 509430.596656 509430.605056 509430.613456 509430.621856 509430.630256 509430.638656 509430.647056 509430.655456 509430.663856 509430.672256 509430.680656 509430.689056 509430.697456 509430.705856 509430.714256 509430.722656 509430.731056 509430.739456 509430.747856 509430.756256 509430.764656 509430.773056 509430.781456 509430.789856 509430.798256 509430.806656 509430.815056 509430.823456 509430.831856 509430.840256 509430.848656 509430.857056 509430.865456 509430.873856 509430.882256 509430.890656 509430.899056 509430.907456 509430.915856 509430.924256 509430.932656 509430.941056 509430.949456 509430.957856 509430.966256 509430.974656
5,509433.5535,403.2,245,255,0.55992617,0.412655353,2.988633591,0.596256615,gaze,,,,509433.553456 509433.561856 509433.570256 509433.578656 509433.595456 509433.603856 509433.612256 509433.620656 509433.629056 509433.637456 509433.645856 509433.654256 509433.662656 509433.671056 509433.679456 509433.687856 509433.696256 509433.704656 509433.713056 509433.721456 509433.729856 509433.738256 509433.746656 509433.755056 509433.763456 509433.771856 509433.780256 509433.788656 509433.797056 509433.805456 509433.813856 509433.822256 509433.830656 509433.839056 509433.847456 509433.855856 509433.864256 509433.872656 509433.881056 509433.897856 509433.906256 509433.914656 509433.923056 509433.931456 509433.948256 509433.956656
6,509440.3239,302.4,409,416,0.545486332,0.387406524,2.997072953,0.568640432,gaze,,,,509440.323856 509440.332256 509440.340656 509440.349056 509440.357456 509440.365856 509440.374256 509440.382656 509440.391056 509440.399456 509440.407856 509440.416256 509440.424656 509440.433056 509440.441456 509440.449856 509440.458256 509440.466656 509440.475056 509440.483456 509440.491856 509440.500256 509440.508656 509440.517056 509440.525456 509440.533856 509440.542256 509440.550656 509440.559056 509440.567456 509440.575856 509440.584256 509440.592656 509440.601056 509440.609456 509440.617856 509440.626256
7,509441.8863,302.4,446,453,0.648796394,0.411364048,2.53556938,0.716936062,gaze,,,,509441.886256 509441.894656 509441.903056 509441.919856 509441.928256 509441.936656 509441.945056 509441.953456 509441.961856 509441.970256 509441.978656 509441.987056 509441.995456 509442.003856 509442.012256 509442.020656 509442.029056 509442.045856 509442.054256 509442.062656 509442.071056 509442.079456 509442.087856 509442.104656 509442.113056 509442.121456 509442.129856 509442.138256 509442.146656 509442.155056 509442.163456 509442.171856 509442.180256 509442.188656
8,509444.3559,999.6,508,534,0.630440293,0.637000393,2.615682013,0.761561228,gaze,,,,509444.355856 509444.372656 509444.389456 509444.397856 509444.406256 509444.431456 509444.439856 509444.448256 509444.456656 509444.465056 509444.473456 509444.481856 509444.490256 509444.498656 509444.515456 509444.523856 509444.532256 509444.540656 509444.549056 509444.557456 509444.565856 509444.574256 509444.591056 509444.599456 509444.607856 509444.616256 509444.624656 509444.633056 509444.641456 509444.649856 509444.658256 509444.666656 509444.675056 509444.683456 509444.691856 509444.700256 509444.708656 509444.717056 509444.725456 509444.733856 509444.742256 509444.750656 509444.759056 509444.767456 509444.775856 509444.784256 509444.792656 509444.801056 509444.809456 509444.817856 509444.826256 509444.834656 509444.843056 509444.851456 509444.859856 509444.868256 509444.876656 509444.885056 509444.901856 509444.910256 509444.918656 509444.927056 509444.935456 509444.943856 509444.952256 509444.960656 509444.969056 509444.977456 509444.985856 509444.994256 509445.002656 509445.011056 509445.019456 509445.027856 509445.036256 509445.044656 509445.053056 509445.061456 509445.069856 509445.086656 509445.095056 509445.103456 509445.111856 509445.120256 509445.128656 509445.137056 509445.145456 509445.153856 509445.162256 509445.170656 509445.179056 509445.187456 509445.195856 509445.204256 509445.212656 509445.221056 509445.229456 509445.237856 509445.246256 509445.254656 509445.263056 509445.271456 509445.279856 509445.288256 509445.296656 509445.305056 509445.313456 509445.321856 509445.330256 509445.338656 509445.347056 509445.355456
9,509445.4479,529.2,536,549,0.598081789,0.604486709,2.833157746,0.753368387,gaze,,,,509445.447856 509445.456256 509445.464656 509445.473056 509445.481456 509445.489856 509445.506656 509445.515056 509445.523456 509445.531856 509445.540256 509445.548656 509445.557056 509445.565456 509445.573856 509445.582256 509445.590656 509445.599056 509445.607456 509445.615856 509445.624256 509445.632656 509445.641056 509445.649456 509445.657856 509445.666256 509445.674656 509445.683056 509445.691456 509445.699856 509445.708256 509445.716656 509445.725056 509445.733456 509445.741856 509445.750256 509445.758656 509445.767056 509445.775456 509445.783856 509445.792256 509445.800656 509445.809056 509445.817456 509445.825856 509445.834256 509445.842656 509445.851056 509445.859456 509445.867856 509445.876256 509445.884656 509445.893056 509445.909856 509445.918256 509445.926656 509445.935056 509445.943456 509445.951856 509445.960256 509445.968656 509445.977056
